HEADING,PITCH,ROLL,TEMP,DEPTH,Ax,Ay,Az,Vh,NetV,NetA
84.7,0.39999962,0.69999695,0,0.0,0.0010187626,-0.02421695,-0.025198184,0.012119184,-0.6171658,-0.0010000467
84.7,0.39999962,0.69999695,0,0.0,0.0010187626,-0.025216952,-0.025198184,0.0126187615,-0.6222363,0.0
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.02694347,0.013990397,-0.62738997,0.0
84.7,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.02694347,0.013981123,-0.6325436,0.0
84.7,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.02694347,0.013981123,-0.6376973,0.0
84.7,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.028962234,-0.025943482,0.01448112,-0.6428033,-0.0010000467
84.7,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.028962234,-0.025943482,0.01448112,-0.64790934,-0.0010000467
84.9,0.39999962,0.8999939,0,0.0,-9.812415E-4,-0.03070721,-0.027688459,0.015361442,-0.65309846,0.0
84.9,0.29999924,0.8999939,0,0.0,7.640617E-4,-0.031707212,-0.02494317,0.015858209,-0.6581569,-0.0010000467
84.9,0.29999924,0.8999939,0,0.0,7.640617E-4,-0.031707212,-0.025943156,0.015858209,-0.66326284,-0.0010000467
84.9,0.29999924,0.8999939,0,0.0,7.640617E-4,-0.031707212,-0.025943156,0.015858209,-0.6683688,-0.0010000467
